date,Region,Municipality,cases,deaths
03/04/2020,Northern,Andrijevica,0,0
03/04/2020,Northern,Berane,0,0
03/04/2020,Northern,Bijelo Polje,0,0
03/04/2020,Northern,Gusinje,0,0
03/04/2020,Northern,Kolasin,0,0
03/04/2020,Northern,Mojkovac,0,0
03/04/2020,Northern,Petnjica,0,0
03/04/2020,Northern,Plav,0,0
03/04/2020,Northern,Pluzine,0,0
03/04/2020,Northern,Pljevlja,0,0
03/04/2020,Northern,Rozaje,0,0
03/04/2020,Northern,Savnik,0,0
03/04/2020,Northern,Zabljak,0,0
04/04/2020,Central,Podgorica,18,0
04/04/2020,Central,Cetinje,0,0
04/04/2020,Central,Danilovgrad,0,0
04/04/2020,Central,Niksic,3,0
04/04/2020,Central,Tuzi,0,0
04/04/2020,Costal,Bar,6,0
04/04/2020,Costal,Budva,0,0
04/04/2020,Costal,Herceg Novi,0,0
04/04/2020,Costal,Kotor,0,0
04/04/2020,Costal,Tivat,0,0
04/04/2020,Costal,Ulcinj,0,0
04/04/2020,Northern,Andrijevica,0,0
04/04/2020,Northern,Berane,0,0
04/04/2020,Northern,Bijelo Polje,0,0
04/04/2020,Northern,Gusinje,0,0
04/04/2020,Northern,Kolasin,0,0
04/04/2020,Northern,Mojkovac,0,0
04/04/2020,Northern,Petnjica,0,0
04/04/2020,Northern,Plav,0,0
04/04/2020,Northern,Pluzine,0,0
04/04/2020,Northern,Pljevlja,0,0
04/04/2020,Northern,Rozaje,0,0
04/04/2020,Northern,Savnik,0,0
04/04/2020,Northern,Zabljak,0,0
05/04/2020,Central,Podgorica,9,0
05/04/2020,Central,Cetinje,0,0
05/04/2020,Central,Danilovgrad,0,0
05/04/2020,Central,Niksic,3,0
05/04/2020,Central,Tuzi,0,0
05/04/2020,Costal,Bar,1,0
05/04/2020,Costal,Budva,0,0
05/04/2020,Costal,Herceg Novi,0,0
05/04/2020,Costal,Kotor,0,0
05/04/2020,Costal,Tivat,0,0
05/04/2020,Costal,Ulcinj,0,0
05/04/2020,Northern,Andrijevica,0,0
05/04/2020,Northern,Berane,0,0
05/04/2020,Northern,Bijelo Polje,0,0
05/04/2020,Northern,Gusinje,0,0
05/04/2020,Northern,Kolasin,0,0
05/04/2020,Northern,Mojkovac,0,0
05/04/2020,Northern,Petnjica,0,0
05/04/2020,Northern,Plav,0,0
05/04/2020,Northern,Pluzine,0,0
05/04/2020,Northern,Pljevlja,0,0
05/04/2020,Northern,Rozaje,0,0
05/04/2020,Northern,Savnik,0,0
05/04/2020,Northern,Zabljak,0,0
06/04/2020,Central,Podgorica,11,0
06/04/2020,Central,Cetinje,0,0
06/04/2020,Central,Danilovgrad,0,0
06/04/2020,Central,Niksic,8,0
06/04/2020,Central,Tuzi,0,0
06/04/2020,Costal,Bar,0,0
06/04/2020,Costal,Budva,0,0
06/04/2020,Costal,Herceg Novi,0,0
06/04/2020,Costal,Kotor,0,0
06/04/2020,Costal,Tivat,0,0
06/04/2020,Costal,Ulcinj,0,0
06/04/2020,Northern,Andrijevica,0,0
06/04/2020,Northern,Berane,0,0
06/04/2020,Northern,Bijelo Polje,0,0
06/04/2020,Northern,Gusinje,0,0
06/04/2020,Northern,Kolasin,0,0
06/04/2020,Northern,Mojkovac,0,0
06/04/2020,Northern,Petnjica,0,0
06/04/2020,Northern,Plav,0,0
06/04/2020,Northern,Pluzine,0,0
06/04/2020,Northern,Pljevlja,0,0
06/04/2020,Northern,Rozaje,0,0
06/04/2020,Northern,Savnik,0,0
06/04/2020,Northern,Zabljak,0,0
07/04/2020,Central,Podgorica,4,0
07/04/2020,Central,Cetinje,0,0
07/04/2020,Central,Danilovgrad,0,0
07/04/2020,Central,Niksic,2,0
07/04/2020,Central,Tuzi,1,0
07/04/2020,Costal,Bar,1,0
07/04/2020,Costal,Budva,0,0
07/04/2020,Costal,Herceg Novi,0,0
07/04/2020,Costal,Kotor,0,0
07/04/2020,Costal,Tivat,0,0
07/04/2020,Costal,Ulcinj,0,0
07/04/2020,Northern,Andrijevica,0,0
07/04/2020,Northern,Berane,0,0
07/04/2020,Northern,Bijelo Polje,0,0
07/04/2020,Northern,Gusinje,0,0
07/04/2020,Northern,Kolasin,0,0
07/04/2020,Northern,Mojkovac,0,0
07/04/2020,Northern,Petnjica,0,0
07/04/2020,Northern,Plav,0,0
07/04/2020,Northern,Pluzine,0,0
07/04/2020,Northern,Pljevlja,0,0
07/04/2020,Northern,Rozaje,0,0
