date,Region,Municipality,cases,deaths,ncases,ndeaths
2020-03-18,Northern,Pluzine,0,0,0,0
2020-03-18,Northern,Rozaje,0,0,0,0
2020-03-18,Northern,Savnik,0,0,0,0
2020-03-18,Northern,Zabljak,0,0,0,0
2020-03-18,Northern,Pljevlja,0,0,0,0
2020-03-19,Central,Podgorica,0,0,0,0
2020-03-19,Central,Cetinje,0,0,0,0
2020-03-19,Central,Danilovgrad,0,0,0,0
2020-03-19,Central,Niksic,0,0,0,0
2020-03-19,Central,Tuzi,0,0,0,0
2020-03-19,Costal,Bar,0,0,0,0
2020-03-19,Costal,Budva,0,0,0,0
2020-03-19,Costal,Herceg Novi,0,0,0,0
2020-03-19,Costal,Kotor,0,0,0,0
2020-03-19,Costal,Tivat,0,0,0,0
2020-03-19,Costal,Ulcinj,0,0,0,0
2020-03-19,Northern,Andrijevica,0,0,0,0
2020-03-19,Northern,Berane,0,0,0,0
2020-03-19,Northern,Bijelo Polje,0,0,0,0
2020-03-19,Northern,Gusinje,0,0,0,0
2020-03-19,Northern,Kolasin,0,0,0,0
2020-03-19,Northern,Mojkovac,0,0,0,0
2020-03-19,Northern,Petnjica,0,0,0,0
2020-03-19,Northern,Plav,0,0,0,0
2020-03-19,Northern,Pluzine,0,0,0,0
2020-03-19,Northern,Rozaje,0,0,0,0
2020-03-19,Northern,Savnik,0,0,0,0
2020-03-19,Northern,Zabljak,0,0,0,0
2020-03-19,Northern,Pljevlja,0,0,0,0
2020-03-20,Central,Podgorica,0,0,0,0
2020-03-20,Central,Cetinje,0,0,0,0
2020-03-20,Central,Danilovgrad,0,0,0,0
2020-03-20,Central,Niksic,0,0,0,0
2020-03-20,Central,Tuzi,0,0,0,0
2020-03-20,Costal,Bar,0,0,0,0
2020-03-20,Costal,Budva,0,0,0,0
2020-03-20,Costal,Herceg Novi,0,0,0,0
2020-03-20,Costal,Kotor,0,0,0,0
2020-03-20,Costal,Tivat,0,0,0,0
2020-03-20,Costal,Ulcinj,0,0,0,0
2020-03-20,Northern,Andrijevica,0,0,0,0
2020-03-20,Northern,Berane,0,0,0,0
2020-03-20,Northern,Bijelo Polje,0,0,0,0
2020-03-20,Northern,Gusinje,0,0,0,0
2020-03-20,Northern,Kolasin,0,0,0,0
2020-03-20,Northern,Mojkovac,0,0,0,0
2020-03-20,Northern,Petnjica,0,0,0,0
2020-03-20,Northern,Plav,0,0,0,0
2020-03-20,Northern,Pluzine,0,0,0,0
2020-03-20,Northern,Rozaje,0,0,0,0
2020-03-20,Northern,Savnik,0,0,0,0
2020-03-20,Northern,Zabljak,0,0,0,0
2020-03-20,Northern,Pljevlja,0,0,0,0
2020-03-21,Central,Podgorica,0,0,0,0
2020-03-21,Central,Cetinje,0,0,0,0
2020-03-21,Central,Danilovgrad,0,0,0,0
2020-03-21,Central,Niksic,0,0,0,0
2020-03-21,Central,Tuzi,0,0,0,0
2020-03-21,Costal,Bar,0,0,0,0
2020-03-21,Costal,Budva,0,0,0,0
2020-03-21,Costal,Herceg Novi,0,0,0,0
2020-03-21,Costal,Kotor,0,0,0,0
2020-03-21,Costal,Tivat,0,0,0,0
2020-03-21,Costal,Ulcinj,0,0,0,0
2020-03-21,Northern,Andrijevica,0,0,0,0
2020-03-21,Northern,Berane,0,0,0,0
2020-03-21,Northern,Bijelo Polje,0,0,0,0
2020-03-21,Northern,Gusinje,0,0,0,0
2020-03-21,Northern,Kolasin,0,0,0,0
2020-03-21,Northern,Mojkovac,0,0,0,0
2020-03-21,Northern,Petnjica,0,0,0,0
2020-03-21,Northern,Plav,0,0,0,0
2020-03-21,Northern,Pluzine,0,0,0,0
2020-03-21,Northern,Rozaje,0,0,0,0
2020-03-21,Northern,Savnik,0,0,0,0
2020-03-21,Northern,Zabljak,0,0,0,0
2020-03-21,Northern,Pljevlja,0,0,0,0
2020-03-22,Central,Podgorica,0,0,0,0
2020-03-22,Central,Cetinje,0,0,0,0
2020-03-22,Central,Danilovgrad,0,0,0,0
2020-03-22,Central,Niksic,0,0,0,0
2020-03-22,Central,Tuzi,0,0,0,0
2020-03-22,Costal,Bar,0,0,0,0
2020-03-22,Costal,Budva,0,0,0,0
2020-03-22,Costal,Herceg Novi,0,0,0,0
2020-03-22,Costal,Kotor,0,0,0,0
2020-03-22,Costal,Tivat,0,0,0,0
2020-03-22,Costal,Ulcinj,0,0,0,0
2020-03-22,Northern,Andrijevica,0,0,0,0
2020-03-22,Northern,Berane,0,0,0,0
2020-03-22,Northern,Bijelo Polje,0,0,0,0
2020-03-22,Northern,Gusinje,0,0,0,0
2020-03-22,Northern,Kolasin,0,0,0,0
2020-03-22,Northern,Mojkovac,0,0,0,0
2020-03-22,Northern,Petnjica,0,0,0,0
2020-03-22,Northern,Plav,0,0,0,0
2020-03-22,Northern,Pluzine,0,0,0,0
2020-03-22,Northern,Rozaje,0,0,0,0
2020-03-22,Northern,Savnik,0,0,0,0
2020-03-22,Northern,Zabljak,0,0,0,0
2020-03-22,Northern,Pljevlja,0,0,0,0
2020-03-23,Central,Podgorica,0,0,0,0
2020-03-23,Central,Cetinje,0,0,0,0
2020-03-23,Central,Danilovgrad,0,0,0,0
2020-03-23,Central,Niksic,0,0,0,0
2020-03-23,Central,Tuzi,0,0,0,0
